Time [s],SER,CLK,RCK
2026-01-30T14:06:09.197352115+00:00,1,1,0
2026-01-30T14:06:09.197986687+00:00,1,1,1
2026-01-30T14:06:09.197994188+00:00,1,0,1
2026-01-30T14:06:09.198006062+00:00,1,1,1
2026-01-30T14:06:09.198016625+00:00,1,0,1
2026-01-30T14:06:09.198028375+00:00,1,1,1
2026-01-30T14:06:09.198038938+00:00,1,0,1
2026-01-30T14:06:09.198050688+00:00,1,1,1
2026-01-30T14:06:09.198061250+00:00,1,0,1
2026-01-30T14:06:09.198073000+00:00,1,1,1
2026-01-30T14:06:09.198083563+00:00,1,0,1
2026-01-30T14:06:09.198095313+00:00,1,1,1
2026-01-30T14:06:09.198105875+00:00,1,0,1
2026-01-30T14:06:09.198117625+00:00,1,1,1
2026-01-30T14:06:09.198128188+00:00,1,0,1
2026-01-30T14:06:09.198176812+00:00,1,1,1
2026-01-30T14:06:09.198187375+00:00,1,0,1
2026-01-30T14:06:09.198189312+00:00,0,0,1
2026-01-30T14:06:09.198199000+00:00,0,1,1
2026-01-30T14:06:09.198485688+00:00,0,1,0
2026-01-30T14:06:09.198490312+00:00,0,0,0
2026-01-30T14:06:09.198502062+00:00,0,1,0
2026-01-30T14:06:09.198512625+00:00,0,0,0
2026-01-30T14:06:09.198524250+00:00,0,1,0
2026-01-30T14:06:09.198571562+00:00,0,0,0
2026-01-30T14:06:09.198583187+00:00,0,1,0
2026-01-30T14:06:09.198593750+00:00,0,0,0
2026-01-30T14:06:09.198595500+00:00,1,0,0
2026-01-30T14:06:09.198605500+00:00,1,1,0
2026-01-30T14:06:09.198616062+00:00,1,0,0
2026-01-30T14:06:09.198618000+00:00,0,0,0
2026-01-30T14:06:09.198627687+00:00,0,1,0
2026-01-30T14:06:09.198638187+00:00,0,0,0
2026-01-30T14:06:09.198639938+00:00,1,0,0
2026-01-30T14:06:09.198650000+00:00,1,1,0
2026-01-30T14:06:09.198660500+00:00,1,0,0
2026-01-30T14:06:09.198662500+00:00,0,0,0
2026-01-30T14:06:09.198672187+00:00,0,1,0
2026-01-30T14:06:09.198682687+00:00,0,0,0
2026-01-30T14:06:09.198694375+00:00,0,1,0
2026-01-30T14:06:09.199981313+00:00,0,1,1
2026-01-30T14:06:09.199987750+00:00,0,0,1
2026-01-30T14:06:09.199989625+00:00,1,0,1
2026-01-30T14:06:09.199999687+00:00,1,1,1
2026-01-30T14:06:09.200010250+00:00,1,0,1
2026-01-30T14:06:09.200022000+00:00,1,1,1
2026-01-30T14:06:09.200032562+00:00,1,0,1
2026-01-30T14:06:09.200044312+00:00,1,1,1
2026-01-30T14:06:09.200054875+00:00,1,0,1
2026-01-30T14:06:09.200066625+00:00,1,1,1
2026-01-30T14:06:09.200077188+00:00,1,0,1
2026-01-30T14:06:09.200088938+00:00,1,1,1
2026-01-30T14:06:09.200099500+00:00,1,0,1
2026-01-30T14:06:09.200111250+00:00,1,1,1
2026-01-30T14:06:09.200121813+00:00,1,0,1
2026-01-30T14:06:09.200123750+00:00,0,0,1
2026-01-30T14:06:09.200170187+00:00,0,1,1
2026-01-30T14:06:09.200180750+00:00,0,0,1
2026-01-30T14:06:09.200182500+00:00,1,0,1
2026-01-30T14:06:09.200192500+00:00,1,1,1
2026-01-30T14:06:09.200480312+00:00,1,1,0
2026-01-30T14:06:09.200484937+00:00,1,0,0
2026-01-30T14:06:09.200487062+00:00,0,0,0
2026-01-30T14:06:09.200496750+00:00,0,1,0
2026-01-30T14:06:09.200507250+00:00,0,0,0
2026-01-30T14:06:09.200509000+00:00,1,0,0
2026-01-30T14:06:09.200519063+00:00,1,1,0
2026-01-30T14:06:09.200566250+00:00,1,0,0
2026-01-30T14:06:09.200566313+00:00,1,1,0
2026-01-30T14:06:09.200566375+00:00,1,0,0
2026-01-30T14:06:09.200568312+00:00,0,0,0
2026-01-30T14:06:09.200577937+00:00,0,1,0
2026-01-30T14:06:09.200588500+00:00,0,0,0
2026-01-30T14:06:09.200590250+00:00,1,0,0
2026-01-30T14:06:09.200600250+00:00,1,1,0
2026-01-30T14:06:09.200610813+00:00,1,0,0
2026-01-30T14:06:09.200612813+00:00,0,0,0
2026-01-30T14:06:09.200622437+00:00,0,1,0
2026-01-30T14:06:09.200633000+00:00,0,0,0
2026-01-30T14:06:09.200644625+00:00,0,1,0
2026-01-30T14:06:09.200655188+00:00,0,0,0
2026-01-30T14:06:09.200666812+00:00,0,1,0
2026-01-30T14:06:09.200677313+00:00,0,0,0
2026-01-30T14:06:09.200689000+00:00,0,1,0
2026-01-30T14:06:09.201975062+00:00,0,1,1
2026-01-30T14:06:09.201975125+00:00,0,1,0
2026-01-30T14:06:09.201975188+00:00,0,1,1
2026-01-30T14:06:09.201981563+00:00,0,0,1
2026-01-30T14:06:09.201983438+00:00,1,0,1
2026-01-30T14:06:09.201993500+00:00,1,1,1
2026-01-30T14:06:09.202004000+00:00,1,0,1
2026-01-30T14:06:09.202015813+00:00,1,1,1
2026-01-30T14:06:09.202026312+00:00,1,0,1
2026-01-30T14:06:09.202038125+00:00,1,1,1
2026-01-30T14:06:09.202048625+00:00,1,0,1
2026-01-30T14:06:09.202050625+00:00,0,0,1
2026-01-30T14:06:09.202060250+00:00,0,1,1
2026-01-30T14:06:09.202070812+00:00,0,0,1
2026-01-30T14:06:09.202072563+00:00,1,0,1
2026-01-30T14:06:09.202082562+00:00,1,1,1
2026-01-30T14:06:09.202093125+00:00,1,0,1
2026-01-30T14:06:09.202104875+00:00,1,1,1
2026-01-30T14:06:09.202115438+00:00,1,0,1
2026-01-30T14:06:09.202163938+00:00,1,1,1
2026-01-30T14:06:09.202174500+00:00,1,0,1
2026-01-30T14:06:09.202186250+00:00,1,1,1
2026-01-30T14:06:09.202474812+00:00,1,1,0
2026-01-30T14:06:09.202479500+00:00,1,0,0
2026-01-30T14:06:09.202491375+00:00,1,1,0
2026-01-30T14:06:09.202501937+00:00,1,0,0
2026-01-30T14:06:09.202513687+00:00,1,1,0
2026-01-30T14:06:09.202561000+00:00,1,0,0
2026-01-30T14:06:09.202572750+00:00,1,1,0
2026-01-30T14:06:09.202583313+00:00,1,0,0
2026-01-30T14:06:09.202595063+00:00,1,1,0
2026-01-30T14:06:09.202605625+00:00,1,0,0
2026-01-30T14:06:09.202617375+00:00,1,1,0
2026-01-30T14:06:09.202627938+00:00,1,0,0
2026-01-30T14:06:09.202639688+00:00,1,1,0
2026-01-30T14:06:09.202650250+00:00,1,0,0
2026-01-30T14:06:09.202662000+00:00,1,1,0
2026-01-30T14:06:09.202672563+00:00,1,0,0
2026-01-30T14:06:09.202684312+00:00,1,1,0
2026-01-30T14:06:09.204007625+00:00,1,1,1
2026-01-30T14:06:09.204014125+00:00,1,0,1
2026-01-30T14:06:09.204026000+00:00,1,1,1
2026-01-30T14:06:09.204036563+00:00,1,0,1
2026-01-30T14:06:09.204038500+00:00,0,0,1
2026-01-30T14:06:09.204048188+00:00,0,1,1
2026-01-30T14:06:09.204058687+00:00,0,0,1
2026-01-30T14:06:09.204060437+00:00,1,0,1
2026-01-30T14:06:09.204070500+00:00,1,1,1
2026-01-30T14:06:09.204081000+00:00,1,0,1
2026-01-30T14:06:09.204092813+00:00,1,1,1
2026-01-30T14:06:09.204103312+00:00,1,0,1
2026-01-30T14:06:09.204115125+00:00,1,1,1
2026-01-30T14:06:09.204162500+00:00,1,0,1
2026-01-30T14:06:09.204174312+00:00,1,1,1
2026-01-30T14:06:09.204184875+00:00,1,0,1
2026-01-30T14:06:09.204196625+00:00,1,1,1
2026-01-30T14:06:09.204207187+00:00,1,0,1
2026-01-30T14:06:09.204218937+00:00,1,1,1
2026-01-30T14:06:09.204469500+00:00,1,1,0
2026-01-30T14:06:09.204474125+00:00,1,0,0
2026-01-30T14:06:09.204486000+00:00,1,1,0
2026-01-30T14:06:09.204496563+00:00,1,0,0
2026-01-30T14:06:09.204508312+00:00,1,1,0
2026-01-30T14:06:09.204555625+00:00,1,0,0
2026-01-30T14:06:09.204567375+00:00,1,1,0
2026-01-30T14:06:09.204577937+00:00,1,0,0
2026-01-30T14:06:09.204589687+00:00,1,1,0
2026-01-30T14:06:09.204600250+00:00,1,0,0
2026-01-30T14:06:09.204612000+00:00,1,1,0
2026-01-30T14:06:09.204622563+00:00,1,0,0
2026-01-30T14:06:09.204634312+00:00,1,1,0
2026-01-30T14:06:09.204644875+00:00,1,0,0
2026-01-30T14:06:09.204656625+00:00,1,1,0
2026-01-30T14:06:09.204667187+00:00,1,0,0
2026-01-30T14:06:09.204678937+00:00,1,1,0
2026-01-30T14:06:09.205965063+00:00,1,1,1
2026-01-30T14:06:09.205971562+00:00,1,0,1
2026-01-30T14:06:09.205973625+00:00,0,0,1
2026-01-30T14:06:09.205983313+00:00,0,1,1
2026-01-30T14:06:09.205993812+00:00,0,0,1
2026-01-30T14:06:09.205995563+00:00,1,0,1
2026-01-30T14:06:09.206005625+00:00,1,1,1
2026-01-30T14:06:09.206016125+00:00,1,0,1
2026-01-30T14:06:09.206027938+00:00,1,1,1
2026-01-30T14:06:09.206038437+00:00,1,0,1
2026-01-30T14:06:09.206050250+00:00,1,1,1
2026-01-30T14:06:09.206060750+00:00,1,0,1
2026-01-30T14:06:09.206072500+00:00,1,1,1
2026-01-30T14:06:09.206083062+00:00,1,0,1
2026-01-30T14:06:09.206094813+00:00,1,1,1
2026-01-30T14:06:09.206105375+00:00,1,0,1
2026-01-30T14:06:09.206153937+00:00,1,1,1
2026-01-30T14:06:09.206164438+00:00,1,0,1
2026-01-30T14:06:09.206176250+00:00,1,1,1
2026-01-30T14:06:09.206464062+00:00,1,1,0
2026-01-30T14:06:09.206468687+00:00,1,0,0
2026-01-30T14:06:09.206480562+00:00,1,1,0
2026-01-30T14:06:09.206491125+00:00,1,0,0
2026-01-30T14:06:09.206493062+00:00,0,0,0
2026-01-30T14:06:09.206502750+00:00,0,1,0
2026-01-30T14:06:09.206550063+00:00,0,0,0
2026-01-30T14:06:09.206551812+00:00,1,0,0
2026-01-30T14:06:09.206561875+00:00,1,1,0
2026-01-30T14:06:09.206572375+00:00,1,0,0
2026-01-30T14:06:09.206584125+00:00,1,1,0
2026-01-30T14:06:09.206594688+00:00,1,0,0
2026-01-30T14:06:09.206606437+00:00,1,1,0
2026-01-30T14:06:09.206617000+00:00,1,0,0
2026-01-30T14:06:09.206619000+00:00,0,0,0
2026-01-30T14:06:09.206628625+00:00,0,1,0
2026-01-30T14:06:09.206639188+00:00,0,0,0
2026-01-30T14:06:09.206640938+00:00,1,0,0
2026-01-30T14:06:09.206651000+00:00,1,1,0
2026-01-30T14:06:09.206661500+00:00,1,0,0
2026-01-30T14:06:09.206673250+00:00,1,1,0
2026-01-30T14:06:09.207960312+00:00,1,1,1
2026-01-30T14:06:09.207966813+00:00,1,0,1
2026-01-30T14:06:09.207978688+00:00,1,1,1
2026-01-30T14:06:09.207989250+00:00,1,0,1
2026-01-30T14:06:09.208001063+00:00,1,1,1
2026-01-30T14:06:09.208011562+00:00,1,0,1
2026-01-30T14:06:09.208023375+00:00,1,1,1
2026-01-30T14:06:09.208033875+00:00,1,0,1
2026-01-30T14:06:09.208045688+00:00,1,1,1
2026-01-30T14:06:09.208056187+00:00,1,0,1
2026-01-30T14:06:09.208058125+00:00,0,0,1
2026-01-30T14:06:09.208058187+00:00,1,0,1
2026-01-30T14:06:09.208058250+00:00,0,0,1
2026-01-30T14:06:09.208067875+00:00,0,1,1
2026-01-30T14:06:09.208078375+00:00,0,0,1
2026-01-30T14:06:09.208080125+00:00,1,0,1
2026-01-30T14:06:09.208090125+00:00,1,1,1
2026-01-30T14:06:09.208100688+00:00,1,0,1
2026-01-30T14:06:09.208192625+00:00,1,1,1
2026-01-30T14:06:09.208203125+00:00,1,0,1
2026-01-30T14:06:09.208214875+00:00,1,1,1
2026-01-30T14:06:09.208458625+00:00,1,1,0
2026-01-30T14:06:09.208463250+00:00,1,0,0
2026-01-30T14:06:09.208475125+00:00,1,1,0
2026-01-30T14:06:09.208485687+00:00,1,0,0
2026-01-30T14:06:09.208497437+00:00,1,1,0
2026-01-30T14:06:09.208544750+00:00,1,0,0
2026-01-30T14:06:09.208556500+00:00,1,1,0
2026-01-30T14:06:09.208567062+00:00,1,0,0
2026-01-30T14:06:09.208578813+00:00,1,1,0
2026-01-30T14:06:09.208589375+00:00,1,0,0
2026-01-30T14:06:09.208601125+00:00,1,1,0
2026-01-30T14:06:09.208611687+00:00,1,0,0
2026-01-30T14:06:09.208623437+00:00,1,1,0
2026-01-30T14:06:09.208634000+00:00,1,0,0
2026-01-30T14:06:09.208645750+00:00,1,1,0
2026-01-30T14:06:09.208656313+00:00,1,0,0
2026-01-30T14:06:09.208668062+00:00,1,1,0
2026-01-30T14:06:09.208867375+00:00,1,1,1
2026-01-30T14:06:09.208867438+00:00,1,1,0
2026-01-30T14:06:09.209351750+00:00,1,1,1
2026-01-30T14:06:09.209351813+00:00,1,1,0
2026-01-30T14:06:09.209955687+00:00,1,1,1
2026-01-30T14:06:09.209962187+00:00,1,0,1
2026-01-30T14:06:09.209974063+00:00,1,1,1
2026-01-30T14:06:09.209984687+00:00,1,0,1
2026-01-30T14:06:09.209996375+00:00,1,1,1
2026-01-30T14:06:09.210006937+00:00,1,0,1
2026-01-30T14:06:09.210008938+00:00,0,0,1
2026-01-30T14:06:09.210018563+00:00,0,1,1
