Time [s],SER,CLK,RCK
2026-01-30T14:06:06.202946000+00:00,1,1,0
2026-01-30T14:06:06.204149687+00:00,1,1,1
2026-01-30T14:06:06.204156125+00:00,1,0,1
2026-01-30T14:06:06.204158250+00:00,0,0,1
2026-01-30T14:06:06.204204687+00:00,0,1,1
2026-01-30T14:06:06.204215250+00:00,0,0,1
2026-01-30T14:06:06.204217000+00:00,1,0,1
2026-01-30T14:06:06.204227000+00:00,1,1,1
2026-01-30T14:06:06.204237562+00:00,1,0,1
2026-01-30T14:06:06.204249313+00:00,1,1,1
2026-01-30T14:06:06.204259875+00:00,1,0,1
2026-01-30T14:06:06.204271625+00:00,1,1,1
2026-01-30T14:06:06.204282187+00:00,1,0,1
2026-01-30T14:06:06.204293937+00:00,1,1,1
2026-01-30T14:06:06.204304500+00:00,1,0,1
2026-01-30T14:06:06.204316250+00:00,1,1,1
2026-01-30T14:06:06.204326812+00:00,1,0,1
2026-01-30T14:06:06.204338562+00:00,1,1,1
2026-01-30T14:06:06.204349063+00:00,1,0,1
2026-01-30T14:06:06.204360875+00:00,1,1,1
2026-01-30T14:06:06.204648687+00:00,1,1,0
2026-01-30T14:06:06.204653313+00:00,1,0,0
2026-01-30T14:06:06.204665250+00:00,1,1,0
2026-01-30T14:06:06.204675750+00:00,1,0,0
2026-01-30T14:06:06.204677750+00:00,0,0,0
2026-01-30T14:06:06.204687437+00:00,0,1,0
2026-01-30T14:06:06.204697937+00:00,0,0,0
2026-01-30T14:06:06.204699688+00:00,1,0,0
2026-01-30T14:06:06.204709688+00:00,1,1,0
2026-01-30T14:06:06.204720250+00:00,1,0,0
2026-01-30T14:06:06.204732000+00:00,1,1,0
2026-01-30T14:06:06.204742563+00:00,1,0,0
2026-01-30T14:06:06.204754312+00:00,1,1,0
2026-01-30T14:06:06.204764875+00:00,1,0,0
2026-01-30T14:06:06.204803750+00:00,0,0,0
2026-01-30T14:06:06.204813437+00:00,0,1,0
2026-01-30T14:06:06.204823938+00:00,0,0,0
2026-01-30T14:06:06.204825687+00:00,1,0,0
2026-01-30T14:06:06.204835688+00:00,1,1,0
2026-01-30T14:06:06.204846250+00:00,1,0,0
2026-01-30T14:06:06.204858000+00:00,1,1,0
2026-01-30T14:06:06.206144375+00:00,1,1,1
2026-01-30T14:06:06.206150813+00:00,1,0,1
2026-01-30T14:06:06.206162687+00:00,1,1,1
2026-01-30T14:06:06.206210125+00:00,1,0,1
2026-01-30T14:06:06.206221875+00:00,1,1,1
2026-01-30T14:06:06.206232437+00:00,1,0,1
2026-01-30T14:06:06.206244188+00:00,1,1,1
2026-01-30T14:06:06.206254750+00:00,1,0,1
2026-01-30T14:06:06.206266500+00:00,1,1,1
2026-01-30T14:06:06.206277062+00:00,1,0,1
2026-01-30T14:06:06.206279063+00:00,0,0,1
2026-01-30T14:06:06.206288688+00:00,0,1,1
2026-01-30T14:06:06.206299250+00:00,0,0,1
2026-01-30T14:06:06.206301000+00:00,1,0,1
2026-01-30T14:06:06.206311000+00:00,1,1,1
2026-01-30T14:06:06.206321563+00:00,1,0,1
2026-01-30T14:06:06.206333313+00:00,1,1,1
2026-01-30T14:06:06.206343875+00:00,1,0,1
2026-01-30T14:06:06.206355625+00:00,1,1,1
2026-01-30T14:06:06.206643250+00:00,1,1,0
2026-01-30T14:06:06.206647875+00:00,1,0,0
2026-01-30T14:06:06.206659812+00:00,1,1,0
2026-01-30T14:06:06.206670313+00:00,1,0,0
2026-01-30T14:06:06.206682125+00:00,1,1,0
2026-01-30T14:06:06.206692625+00:00,1,0,0
2026-01-30T14:06:06.206704375+00:00,1,1,0
2026-01-30T14:06:06.206714938+00:00,1,0,0
2026-01-30T14:06:06.206726750+00:00,1,1,0
